Date,Quantity
24/07/2023,"  140,714 "
25/07/2023,"  136,848 "
26/07/2023,"  141,565 "
27/07/2023,"  138,338 "
28/07/2023,"  142,258 "
29/07/2023,"  112,273 "
30/07/2023,"  145,677 "
31/07/2023,"  182,507 "
01/08/2023,"  125,161 "
02/08/2023,"  139,788 "
03/08/2023,"  138,911 "
04/08/2023,"  130,548 "
05/08/2023,"  117,468 "
06/08/2023,"  109,251 "
07/08/2023,"  122,231 "
08/08/2023,"  122,804 "
09/08/2023,"  135,778 "
10/08/2023,"  124,454 "
11/08/2023,"  131,974 "
12/08/2023,"  103,504 "
13/08/2023,"  78,834 "
14/08/2023,"  75,147 "
15/08/2023,"  68,171 "
16/08/2023,"  63,687 "
17/08/2023,"  72,314 "
18/08/2023,"  114,767 "
19/08/2023,"  129,424 "
20/08/2023,"  118,038 "
21/08/2023,"  127,554 "
22/08/2023,"  94,421 "
23/08/2023,"  122,191 "
24/08/2023,"  117,417 "
25/08/2023,"  105,621 "
26/08/2023,"  78,931 "
27/08/2023,"  137,527 "
28/08/2023,"  170,877 "
29/08/2023,"  166,438 "
30/08/2023,"  163,141 "
31/08/2023,"  185,705 "
01/09/2023,"  150,514 "
02/09/2023,"  257,167 "
03/09/2023,"  236,562 "
04/09/2023,"  212,739 "
05/09/2023,"  194,088 "
06/09/2023,"  179,020 "
07/09/2023,"  192,116 "
08/09/2023,"  195,501 "
09/09/2023,"  229,933 "
10/09/2023,"  221,020 "
11/09/2023,"  166,572 "
12/09/2023,"  174,842 "
13/09/2023,"  165,747 "
14/09/2023,"  156,864 "
15/09/2023,"  182,543 "
16/09/2023,"  189,596 "
17/09/2023,"  195,597 "
18/09/2023,"  164,465 "
19/09/2023,"  157,989 "
20/09/2023,"  165,441 "
21/09/2023,"  158,462 "
22/09/2023,"  167,633 "
23/09/2023,"  185,520 "
24/09/2023,"  194,118 "
25/09/2023,"  169,750 "
26/09/2023,"  160,900 "
27/09/2023,"  171,335 "
28/09/2023,"  177,539 "
29/09/2023,"  192,601 "
30/09/2023,"  190,264 "
01/10/2023,"  181,989 "
02/10/2023,"  150,032 "
03/10/2023,"  165,507 "
04/10/2023,"  158,818 "
05/10/2023,"  151,295 "
06/10/2023,"  153,815 "
07/10/2023,"  176,826 "
08/10/2023,"  180,788 "
09/10/2023,"  149,714 "
10/10/2023,"  183,320 "
11/10/2023,"  186,070 "
12/10/2023,"  187,079 "
13/10/2023,"  209,173 "
14/10/2023,"  210,302 "
15/10/2023,"  233,481 "
16/10/2023,"  178,766 "
17/10/2023,"  175,228 "
18/10/2023,"  193,986 "
19/10/2023,"  196,120 "
20/10/2023,"  298,707 "
21/10/2023,"  205,714 "
22/10/2023,"  209,866 "
23/10/2023,"  183,764 "
24/10/2023,"  182,017 "
25/10/2023,"  185,829 "
26/10/2023,"  193,786 "
27/10/2023,"  195,507 "
28/10/2023,"  209,608 "
29/10/2023,"  219,362 "
30/10/2023,"  171,813 "
31/10/2023,"  182,373 "
01/11/2023,"  191,073 "
02/11/2023,"  183,548 "
03/11/2023,"  195,790 "
04/11/2023,"  205,583 "
05/11/2023,"  208,118 "
06/11/2023,"  185,247 "
07/11/2023,"  179,911 "
08/11/2023,"  188,306 "
09/11/2023,"  190,548 "
10/11/2023,"  198,049 "
11/11/2023,"  205,737 "
12/11/2023,"  219,434 "
13/11/2023,"  185,279 "
14/11/2023,"  190,033 "
15/11/2023,"  199,925 "
16/11/2023,"  207,223 "
17/11/2023,"  228,756 "
18/11/2023,"  233,160 "
19/11/2023,"  256,207 "
20/11/2023,"  245,251 "
21/11/2023,"  207,171 "
22/11/2023,"  214,712 "
23/11/2023,"  223,068 "
24/11/2023,"  240,221 "
25/11/2023,"  249,584 "
26/11/2023,"  250,371 "
27/11/2023,"  209,930 "
28/11/2023,"  218,526 "
29/11/2023,"  217,220 "
30/11/2023,"  235,206 "
01/12/2023,"  245,255 "
02/12/2023,"  271,459 "
03/12/2023,"  272,670 "
04/12/2023,"  221,212 "
05/12/2023,"  223,273 "
06/12/2023,"  239,525 "
07/12/2023,"  237,927 "
08/12/2023,"  252,237 "
09/12/2023,"  251,779 "
10/12/2023,"  270,296 "
11/12/2023,"  209,686 "
12/12/2023,"  217,215 "
13/12/2023,"  220,300 "
14/12/2023,"  225,866 "
15/12/2023,"  225,192 "
16/12/2023,"  256,057 "
17/12/2023,"  274,068 "
18/12/2023,"  220,846 "
19/12/2023,"  233,683 "
20/12/2023,"  239,496 "
21/12/2023,"  241,179 "
22/12/2023,"  270,953 "
23/12/2023,"  281,313 "
24/12/2023,"  341,522 "
25/12/2023,"  269,282 "
26/12/2023,"  223,447 "
27/12/2023,"  228,168 "
28/12/2023,"  234,885 "
29/12/2023,"  271,668 "
30/12/2023,"  261,976 "
31/12/2023,"  292,211 "
01/01/2024,"  395,264 "
02/01/2024,"  231,692 "
03/01/2024,"  215,687 "
04/01/2024,"  206,367 "
05/01/2024,"  230,037 "
06/01/2024,"  239,815 "
07/01/2024,"  253,699 "
08/01/2024,"  195,849 "
09/01/2024,"  205,809 "
10/01/2024,"  206,708 "
11/01/2024,"  211,116 "
12/01/2024,"  219,084 "
13/01/2024,"  234,750 "
14/01/2024,"  241,474 "
15/01/2024,"  198,843 "
16/01/2024,"  193,096 "
17/01/2024,"  194,505 "
18/01/2024,"  185,849 "
19/01/2024,"  198,585 "
20/01/2024,"  228,914 "
21/01/2024,"  249,172 "
22/01/2024,"  231,800 "
23/01/2024,"  243,252 "
24/01/2024,"  247,282 "
25/01/2024,"  252,194 "
26/01/2024,"  251,806 "
27/01/2024,"  262,490 "
28/01/2024,"  261,928 "
29/01/2024,"  214,339 "
30/01/2024,"  249,013 "
31/01/2024,"  244,371 "
01/02/2024,"  252,582 "
02/02/2024,"  251,396 "
03/02/2024,"  232,122 "
04/02/2024,"  222,932 "
05/02/2024,"  246,153 "
06/02/2024,"  243,050 "
07/02/2024,"  255,932 "
08/02/2024,"  242,583 "
09/02/2024,"  184,026 "
10/02/2024,"  293,515 "
11/02/2024,"  269,260 "
12/02/2024,"  270,782 "
13/02/2024,"  290,643 "
14/02/2024,"  295,852 "
15/02/2024,"  280,056 "
16/02/2024,"  274,670 "
17/02/2024,"  251,989 "
18/02/2024,"  252,979 "
19/02/2024,"  247,888 "
20/02/2024,"  238,685 "
21/02/2024,"  230,343 "
22/02/2024,"  227,576 "
23/02/2024,"  245,913 "
24/02/2024,"  254,159 "
25/02/2024,"  274,854 "
26/02/2024,"  225,427 "
27/02/2024,"  232,710 "
28/02/2024,"  234,742 "
29/02/2024,"  235,355 "
01/03/2024,"  241,829 "
02/03/2024,"  251,824 "
03/03/2024,"  257,249 "
04/03/2024,"  203,235 "
05/03/2024,"  203,987 "
06/03/2024,"  222,727 "
07/03/2024,"  249,613 "
08/03/2024,"  378,492 "
09/03/2024,"  250,402 "
10/03/2024,"  266,581 "
11/03/2024,"  209,217 "
12/03/2024,"  207,482 "
13/03/2024,"  199,909 "
14/03/2024,"  209,362 "
15/03/2024,"  218,319 "
16/03/2024,"  237,234 "
17/03/2024,"  252,399 "
18/03/2024,"  198,500 "
