Date,Quantity
20/11/2023,  230 
21/11/2023,  272 
22/11/2023,  242 
23/11/2023,  252 
24/11/2023,  319 
25/11/2023,  325 
26/11/2023,  272 
27/11/2023,  289 
28/11/2023,  286 
29/11/2023,  222 
30/11/2023,  288 
01/12/2023,  271 
02/12/2023,  319 
03/12/2023,  305 
04/12/2023,  288 
05/12/2023,  271 
06/12/2023,  260 
07/12/2023,  268 
08/12/2023,  305 
09/12/2023,  332 
10/12/2023,  284 
11/12/2023,  216 
12/12/2023,  222 
13/12/2023,  210 
14/12/2023,  233 
15/12/2023,  238 
16/12/2023,  261 
17/12/2023,  368 
18/12/2023,  219 
19/12/2023,  339 
20/12/2023,  280 
21/12/2023,  286 
22/12/2023,  362 
23/12/2023,  351 
24/12/2023,  440 
25/12/2023,  294 
26/12/2023,  390 
27/12/2023,  248 
28/12/2023,  270 
29/12/2023,  376 
30/12/2023,  338 
31/12/2023,  404 
01/01/2024,  413 
02/01/2024,  344 
03/01/2024,  272 
04/01/2024,  254 
05/01/2024,  264 
06/01/2024,  271 
07/01/2024,  289 
08/01/2024,  211 
09/01/2024,  264 
10/01/2024,  197 
11/01/2024,  255 
12/01/2024,  347 
13/01/2024,  394 
14/01/2024,  336 
15/01/2024,  236 
16/01/2024,  337 
17/01/2024,  260 
18/01/2024,  242 
19/01/2024,  335 
20/01/2024,  430 
21/01/2024,  408 
22/01/2024,  286 
23/01/2024,  362 
24/01/2024,  393 
25/01/2024,  423 
26/01/2024,  372 
27/01/2024,  371 
28/01/2024,  311 
29/01/2024,  213 
30/01/2024,  467 
31/01/2024,  473 
01/02/2024,  433 
02/02/2024,  382 
03/02/2024,  325 
04/02/2024,  364 
05/02/2024,  364 
06/02/2024,  484 
07/02/2024,  399 
08/02/2024,  388 
09/02/2024,  321 
10/02/2024,  428 
11/02/2024,  447 
12/02/2024,  512 
13/02/2024,  530 
14/02/2024,  423 
15/02/2024,  333 
16/02/2024,  418 
17/02/2024,  477 
18/02/2024,  419 
19/02/2024,  331 
20/02/2024,  408 
21/02/2024,  339 
22/02/2024,  351 
23/02/2024,  427 
24/02/2024,  470 
25/02/2024,  455 
26/02/2024,  287 
27/02/2024,  420 
28/02/2024,  383 
29/02/2024,  351 
01/03/2024,  362 
02/03/2024,  399 
03/03/2024,  432 
04/03/2024,  285 
05/03/2024,  416 
06/03/2024,  396 
07/03/2024,  352 
08/03/2024,  551 
09/03/2024,  409 
10/03/2024,  391 
11/03/2024,  265 
12/03/2024,  343 
13/03/2024,  280 
14/03/2024,  339 
15/03/2024,  276 
16/03/2024,  320 
17/03/2024,  363 
18/03/2024,  244 
19/03/2024,  304 
20/03/2024,  269 
21/03/2024,  350 
22/03/2024,  379 
23/03/2024,  384 
24/03/2024,  405 
25/03/2024,  288 
26/03/2024,  367 
27/03/2024,  249 
28/03/2024,  275 
29/03/2024,  332 
30/03/2024,  355 
31/03/2024,  396 
